Tournament,Season,Format,Team_Name,Team_ID,Division_ID,Final_Position,Finish_Type,Position,Champion,Runner_Up,Division_Position,Pool_Label,Matches_Played,Wins,Losses,Ties,No_Results,Points,Net_Run_Rate
Women's Provincial League 2005/06,05/06,List A,Badgers,BADG,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,Group B,12,1,8,0,1,15,-2.417
Women's Provincial League 2005/06,05/06,List A,Boland,BOLA,D1,2,RUNNER_UP,2,0,1,1,Group B,12,10,2,0,0,59,1.674
Women's Provincial League 2005/06,05/06,List A,Dolphins,DOLP,D1,,SEMI_FINALIST,1,0,0,1,Group A,10,8,0,0,0,59,2.172
Women's Provincial League 2005/06,05/06,List A,Dragons,DRAG,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,Group A,10,1,7,0,0,12,-1.629
Women's Provincial League 2005/06,05/06,List A,Heat,HEAT,D1,,ELIMINATED_POOL_STAGE,7,0,0,7,Group B,12,1,11,0,0,6,-2.63
Women's Provincial League 2005/06,05/06,List A,Iinyathi,IINY,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Group B,12,6,5,0,0,43,0.733
Women's Provincial League 2005/06,05/06,List A,Knights,KNIG,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Group B,12,6,5,0,0,38,0.263
Women's Provincial League 2005/06,05/06,List A,Limpopo Lillies,LIMP,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Group A,10,2,2,0,1,23,-0.321
Women's Provincial League 2005/06,05/06,List A,Lions,LION,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group A,10,5,4,0,1,35,0.58
Women's Provincial League 2005/06,05/06,List A,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Group A,10,2,7,0,0,14,-1.38
Women's Provincial League 2005/06,05/06,List A,Titans,TITA,D1,,SEMI_FINALIST,2,0,0,2,Group A,10,6,4,0,0,37,0.45
Women's Provincial League 2005/06,05/06,List A,Warriors,EAST,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group B,12,7,4,0,1,44,0.409
Women's Provincial League 2005/06,05/06,List A,Western Province,WEST,D1,1,CHAMPION,1,1,0,2,Group B,12,7,3,0,0,47,0.809
