Venue_ID,Original_Name,Suggested_Name,City,Latitude,Longitude
1556,"Fort Hare University, Alice",Fort Hare University,Alice,-32.7884374,26.8365447
1559,"Willowmoore Park Main Oval, Benoni",Willowmoore Park Main Oval,Benoni,-26.1930356,28.3082376
1561,"Mangaung Oval, Bloemfontein",Bloemfontein Oval,Bloemfontein,-29.116395,26.215496
1563,"Schoeman Park A Ground, Bloemfontein",Schoeman Park A Ground,Bloemfontein,-29.116395,26.215496
1565,"University of Free State Ground, Bloemfontein",UFS Oval,Bloemfontein,-29.116395,26.215496
1567,"Brackenfell Sports Fields, Brackenfell",Brackenfell Sports Fields,Brackenfell,-33.883056,18.7
1574,"World Sports Betting Newlands, Cape Town",Newlands Stadium,Cape Town,-33.9288301,18.4172197
1577,"Northerns-Goodwood Cricket Club Oval, Cape Town",Northerns-Goodwood Oval,Cape Town,-33.9288301,18.4172197
1579,"RJE Burt Oval, Cape Town",RJE Burt Oval,Cape Town,-33.9288301,18.4172197
1581,"SuperSport Park, Centurion",Centurion Park,Centurion,-25.836389,28.180278
1582,"Chatsworth Stadium, Chatsworth",Chatsworth Stadium,Chatsworth,-29.9176727,30.8936758
1585,"Hollywoodbets Kingsmead, Durban",Kingsmead stadium,Durban,-29.861825,31.009909
1592,"Buffalo Park, East London",Buffalo Park,East London,-33.0191604,27.8998573
1595,"The Feathers, East London",The Feathers,East London,-33.0191604,27.8998573
1606,"Lenasia Stadium, Johannesburg",Lenasia Stadium,Johannesburg,-26.205,28.049722
1608,"Top Oval, Wanderers Club, Johannesburg",Top Oval,Johannesburg,-26.205,28.049722
1609,"DP World Wanderers Stadium, Johannesburg",Wanderers,Johannesburg,-26.205,28.049722
1610,"Alan Lawson Oval, Johannesburg",Alan Lawson Oval,Johannesburg,-26.205,28.049722
1618,"Christian Brothers College, Kimberley",CBC Oval,Kimberley,-28.7383012,24.7642251
1619,"Kimberley Oval, Kimberley",Kimberley Oval,Kimberley,-28.7383012,24.7642251
1628,"Recreation Ground, Oudtshoorn",Recreation Ground,Oudtshoorn,-33.5902954,22.204206
1629,"Boland Park, Paarl","Boland Park, Paarl",Paarl,-33.7310282,18.9642117
1630,"Paarl Cricket Club Ground, Paarl",Paarl Cricket Club Ground,Paarl,-33.7310282,18.9642117
1631,"City Oval, Pietermaritzburg",City Oval,Pietermaritzburg,-29.6,30.3788889
1635,"St George's Park, Gqeberha",St George's Park,Gqeberha,-33.9618598,25.6186731
1636,"Kemsley Park, Port Elizabeth",Kemsley Park,Port Elizabeth,-33.9618598,25.6186731
1638,"Union Ground, St George's Park, Port Elizabeth",St. George's Outer Oval,Port Elizabeth,-33.9618598,25.6186731
1641,"Absa Puk Oval, Potchefstroom",NWU Main Oval,Potchefstroom,-26.707778,27.095833
1642,"JB Marks Cricket Oval, Potchefstroom",Potchefstroom Oval,Potchefstroom,-26.707778,27.095833
1643,"South African Defence Force Ground, Potchefstroom",SANDF Oval,Potchefstroom,-26.707778,27.095833
1644,"Witrand Cricket Field, Potchefstroom",Witrand Cricket Field,Potchefstroom,-26.707778,27.095833
1648,"Laudium Oval, Pretoria",Laudium Oval,Pretoria,-25.7459277,28.1879101
1649,"LC de Villiers Oval, Pretoria",UP Main Oval,Pretoria,-25.7459277,28.1879101
1651,"Tshwane University of Technology Oval, Pretoria",TUT Oval,Pretoria,-25.7459277,28.1879101
1657,"Soweto Cricket Oval, Soweto",Soweto Cricket Oval,Soweto,-26.2227778,27.89
1661,"Oude Libertas, Stellenbosch Farmers Winery Ground, Stellenbosch",Oude Libertas Ground,Stellenbosch,-33.934444,18.869167
1662,"Stellenbosch University Ground, Stellenbosch",SU Main Oval,Stellenbosch,-33.934444,18.869167
1673,"Landau Recreation Club, South African Coal Estates, Witbank",Landau Rec Oval,Witbank,-25.8762409,29.2099962
1674,"Boland Park, Worcester","Boland Park, Worcester",Worcester,-33.646238,19.445927
1873,"St Alban's College Ground, Pretoria",St. Alban's Ground,Pretoria,-25.7459277,28.1879101
1887,"Vaal Reefs Cricket Club Ground, Orkney",Vaal Reefs Ground,Orkney,-26.975276,26.671926
2024,"University of Cape Town Bowl, Cape Town",UCT Bowl,Cape Town,-33.9288301,18.4172197
2270,"United Cricket Club Ground, East London",United CC Ground,East London,-33.0191604,27.8998573
2271,"Tokkie Park, Technikon, Bloemfontein",CUT Tokkie Park,Bloemfontein,-29.116395,26.215496
2480,"ABSA Oval, Johannesburg",UJ Main Oval,Johannesburg,-26.205,28.049722
2737,"Walter Milton Oval, University of Witwatersrand, Johannesburg",Walter Milton Oval,Johannesburg,-26.205,28.049722
2768,"Constantia Uitsig Cricket Oval, Constantia",Constantia Oval,Constantia,-34.0283333,18.4155556
2877,"Willowmoore Park A Field, Benoni",Willowmoore Park A Field,Benoni,-26.1930356,28.3082376
3222,"Willowmoore Park B Field, Benoni",Willowmoore Park B Field,Benoni,-26.1930356,28.3082376
3225,"University of the Western Cape Oval, Cape Town",UWC Main Oval,Cape Town,-33.9288301,18.4172197
3286,"Sinovich Park, Sinoville, Pretoria",Sinovich Park,Pretoria,-25.7459277,28.1879101
3287,"Modjadjiskloof Oval, Duiwelskloof",Modjadjiskloof Oval,Duiwelskloof,-23.69194,30.14055
3304,"Florida Park, Cape Town",Florida Park,Cape Town,-33.9288301,18.4172197
3319,"Gelvandale Oval, Port Elizabeth",Gelvandale Oval,Port Elizabeth,-33.9618598,25.6186731
3321,"Mohadin Oval, Potchefstroom",Mohadin Oval,Potchefstroom,-26.707778,27.095833
3367,"Police Ground, East London",Police Ground,East London,-33.0191604,27.8998573
3407,"The Vineyard, Cape Town",The Vineyard,Cape Town,-33.9288301,18.4172197
3431,"Hammondfield, Durban",Hammondfield,Durban,-29.861825,31.009909
3701,"Polokwane Cricket Club Ground, Polokwane",Polokwane Oval,Polokwane,-23.9058333,29.4613889
